satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,departments,salary,left
0.774,0.829,5,98,8,0,1,management,low,0
0.439,0.594,4,200,9,0,1,hr,medium,1
0.859,0.245,2,216,2,1,1,RandD,high,0
0.697,0.746,2,255,3,0,0,IT,low,0
0.094,0.084,5,217,1,1,1,RandD,low,0
0.976,0.774,5,125,5,0,0,marketing,low,0
0.761,0.59,5,168,5,1,0,management,medium,0
0.786,0.111,2,186,1,1,1,support,high,0
0.128,0.08,5,316,7,1,0,sales,medium,1
0.45,0.751,2,207,1,1,0,technical,medium,0
0.371,0.293,2,232,8,1,0,technical,high,1
0.927,0.889,4,256,8,1,0,RandD,low,1
0.644,0.762,5,166,9,0,1,technical,high,1
0.823,0.698,5,311,2,1,0,technical,low,0
0.443,0.279,7,241,9,1,0,IT,low,1
0.227,0.709,7,283,6,0,1,accounting,high,1
0.555,0.948,4,259,9,0,0,product_mng,medium,1
0.064,0.092,6,229,7,0,1,support,medium,1
0.828,0.326,2,87,7,1,0,support,low,0
0.632,0.235,7,220,1,1,0,hr,medium,0
0.758,0.393,4,111,7,0,1,product_mng,high,0
0.355,0.742,6,224,5,1,1,IT,low,1
0.971,0.474,7,248,9,0,0,accounting,low,1
0.893,0.571,6,210,7,1,0,IT,low,1
0.778,0.314,7,154,1,0,1,IT,medium,0
0.195,0.141,2,94,9,0,1,accounting,high,0
0.467,0.267,3,241,1,0,1,IT,low,0
0.044,0.86,5,247,3,0,0,marketing,high,1
0.154,0.602,5,194,3,0,1,RandD,high,1
0.683,0.378,2,251,10,1,0,support,medium,1
0.745,0.79,6,266,2,0,0,technical,high,0
0.968,0.064,2,202,9,0,0,hr,high,1
0.326,0.254,7,91,3,1,0,support,high,0
0.37,0.23,2,288,7,0,1,IT,medium,0
0.47,0.985,4,192,1,0,0,marketing,low,0
0.189,0.706,6,241,4,1,1,technical,high,1
0.13,0.618,5,298,7,0,1,sales,medium,1
0.476,0.005,6,167,8,1,1,product_mng,low,0
0.227,0.184,6,229,9,0,1,management,high,1
0.67,0.636,7,84,9,1,0,marketing,medium,1
0.437,0.38,4,292,6,0,1,marketing,high,0
0.833,0.924,7,94,4,1,0,RandD,high,0
0.7,0.765,5,209,3,1,0,hr,low,0
0.312,0.447,7,164,10,1,0,hr,high,0
0.832,0.75,6,88,7,0,1,sales,high,0
0.805,0.975,2,190,10,0,0,marketing,high,0
0.387,0.461,5,304,5,1,1,marketing,low,1
0.288,0.643,7,120,5,0,0,support,high,1
0.682,0.919,2,150,9,0,1,management,high,0
0.14,0.249,7,125,8,1,1,support,high,1
0.2,0.887,2,109,3,0,1,hr,medium,0
0.007,0.098,7,135,6,0,1,technical,high,1
0.787,0.648,6,217,3,1,1,RandD,medium,0
0.665,0.783,2,267,8,1,1,accounting,low,0
0.705,0.615,6,245,1,1,0,marketing,high,0
0.781,0.496,2,265,9,1,0,technical,medium,1
0.459,0.617,5,251,10,0,1,technical,low,1
0.569,0.152,7,171,1,0,0,RandD,medium,0
0.14,0.216,3,296,7,1,1,hr,low,1
0.115,0.27,3,121,1,1,1,marketing,medium,1
0.668,0.598,4,247,4,0,1,technical,medium,0
0.471,0.442,4,106,4,1,0,accounting,high,0
0.565,0.244,2,263,6,1,0,product_mng,high,1
0.765,0.883,4,100,10,0,1,sales,medium,0
0.635,0.374,3,131,5,1,0,IT,high,0
0.554,0.446,2,173,4,0,1,support,low,0
0.559,0.41,3,246,1,0,0,management,high,0
0.304,0.182,2,90,9,1,0,management,low,0
0.031,0.732,7,141,4,0,0,technical,high,0
0.437,0.448,7,160,5,0,0,marketing,high,1
0.215,0.016,4,255,1,1,1,sales,low,0
0.409,0.964,7,310,3,0,1,product_mng,low,1
0.853,0.816,4,227,6,0,0,technical,high,0
0.234,0.724,7,201,10,1,1,accounting,high,1
0.058,0.869,3,160,4,0,0,sales,high,0
0.281,0.907,3,277,6,1,1,management,low,1
0.294,0.337,6,105,9,0,1,support,medium,1
0.662,0.611,3,111,4,1,1,support,medium,0
0.557,0.609,6,128,3,0,1,hr,high,0
0.784,0.267,4,144,1,1,1,management,high,0
0.664,0.222,4,190,10,1,0,sales,high,0
0.406,0.114,4,307,2,1,0,technical,medium,0
0.814,0.659,6,236,3,0,1,hr,low,1
0.167,0.781,2,172,2,0,1,management,high,0
0.023,0.761,6,130,8,1,1,product_mng,low,0
0.09,0.316,6,235,4,0,1,technical,low,1
0.722,0.205,6,140,8,1,0,technical,low,0
0.462,0.454,7,314,7,1,0,support,medium,0
0.161,0.547,6,194,1,1,1,RandD,low,0
0.501,0.919,5,212,4,0,0,sales,medium,0
0.152,0.875,4,296,1,1,0,RandD,low,0
0.696,0.916,4,153,1,1,1,hr,high,0
0.446,0.85,6,193,5,0,0,technical,medium,1
0.381,0.965,4,207,3,1,1,management,low,0
0.302,0.465,5,145,1,0,1,management,high,0
0.63,0.047,2,93,5,0,0,support,medium,0
0.362,0.084,3,148,5,0,1,technical,low,0
0.088,0.39,3,106,10,1,1,IT,medium,1
0.118,0.258,4,242,7,1,1,support,high,0
0.962,0.17,5,81,4,1,1,support,high,0
0.909,0.953,6,155,5,1,0,management,medium,0
0.7,0.195,4,292,1,1,1,technical,high,0
0.266,0.959,2,216,4,0,1,IT,low,1
0.969,0.761,5,241,6,0,0,accounting,high,1
0.779,0.641,2,240,1,0,0,sales,high,0
0.717,0.676,7,151,10,1,0,sales,medium,1
0.449,0.331,6,231,6,0,0,IT,medium,0
0.272,0.646,3,133,8,0,0,management,medium,1
0.096,0.187,3,232,3,0,1,hr,low,1
0.903,0.938,2,243,9,1,1,management,high,0
0.456,0.302,4,290,4,1,1,hr,high,0
0.202,0.255,2,300,10,1,1,technical,high,1
0.306,0.711,7,85,6,0,0,product_mng,low,1
0.579,0.656,2,151,7,0,0,marketing,high,0
0.177,0.451,5,211,3,1,1,technical,medium,1
0.857,0.632,5,157,10,0,1,management,high,0
0.759,0.159,3,228,2,1,1,RandD,high,0
0.719,0.673,6,285,1,1,0,hr,high,0
0.432,0.271,2,141,5,0,0,support,high,0
0.627,0.273,7,294,9,1,1,accounting,low,1
0.584,0.162,6,291,10,0,0,technical,low,1
0.65,0.332,5,299,9,0,0,sales,low,1
0.084,0.331,7,97,6,1,0,RandD,medium,1
0.416,0.454,4,150,10,1,1,sales,high,0
0.042,0.19,3,109,5,0,0,support,high,1
0.494,0.193,2,108,5,1,1,accounting,medium,0
0.33,0.542,7,92,2,1,0,product_mng,high,0
0.145,0.129,4,185,8,0,1,IT,low,1
0.103,0.689,6,100,4,1,0,support,medium,1
0.588,0.944,3,150,2,1,0,RandD,medium,1
0.171,0.427,7,315,4,0,0,management,low,1
0.925,0.901,7,292,7,0,0,accounting,medium,1
0.581,0.098,3,304,3,1,1,IT,high,1
0.347,0.043,4,88,4,0,0,product_mng,high,1
0.591,0.721,6,238,4,1,1,technical,high,0
0.023,0.761,3,232,6,1,1,technical,high,1
0.959,0.843,2,111,8,1,0,support,medium,0
0.482,0.057,3,297,7,0,0,IT,low,1
0.783,0.777,5,177,2,0,1,management,high,0
0.083,0.377,2,314,4,1,1,hr,medium,1
0.487,0.303,4,107,7,0,1,technical,medium,0
0.491,0.173,7,236,3,1,1,IT,low,1
0.938,0.996,2,111,1,1,1,sales,high,0
0.572,0.064,2,307,4,1,0,sales,high,0
0.473,0.827,4,225,7,1,1,IT,high,0
0.267,0.639,2,98,7,0,0,management,low,0
0.332,0.735,2,131,2,0,1,technical,high,0
0.521,0.712,3,166,7,0,0,RandD,medium,1
0.439,0.858,2,83,2,1,0,IT,low,0
0.022,0.184,6,82,8,1,1,marketing,medium,0
0.826,0.001,2,302,6,1,1,hr,medium,0
0.896,0.599,5,315,2,1,1,hr,medium,0
0.14,0.354,6,208,4,0,1,hr,low,0
0.554,0.124,5,296,9,1,0,product_mng,medium,1
0.109,0.186,5,237,5,0,0,sales,high,1
0.672,0.332,4,86,7,0,1,management,high,0
0.281,0.07,7,251,8,0,0,management,high,1
0.659,0.057,2,84,1,0,0,hr,medium,0
0.727,0.916,2,275,10,1,1,product_mng,high,0
0.769,0.312,7,168,4,0,0,support,low,0
